beam_id,time_s,displacement_mm,force_N
6,21.20,0.6991,87.6
6,21.30,0.7025,88.1
6,21.40,0.7063,88.7
6,21.50,0.7099,89.2
6,21.60,0.7133,89.7
6,21.70,0.7163,90.1
6,21.80,0.7191,90.5
6,21.90,0.7223,91.0
6,22.00,0.7262,91.6
6,22.10,0.7302,92.2
6,22.20,0.7335,92.7
6,22.30,0.7361,93.0
6,22.40,0.7388,93.4
6,22.50,0.7421,93.9
6,22.60,0.7459,94.6
6,22.70,0.7495,95.1
6,22.80,0.7527,95.5
6,22.90,0.7562,96.1
6,23.00,0.7599,96.6
6,23.10,0.7632,97.1
6,23.20,0.7664,97.6
6,23.30,0.7695,98.0
6,23.40,0.7725,98.5
6,23.50,0.7761,99.0
6,23.60,0.7802,99.7
6,23.70,0.7838,100.2
6,23.80,0.7866,100.6
6,23.90,0.7892,100.9
6,24.00,0.7921,101.4
6,24.10,0.7957,101.9
6,24.20,0.7995,102.5
6,24.30,0.8025,102.9
6,24.40,0.8056,103.4
6,24.50,0.8092,104.0
6,24.60,0.8129,104.5
6,24.70,0.8164,105.0
6,24.80,0.8195,105.5
6,24.90,0.8226,105.9
6,25.00,0.8260,106.4
6,25.10,0.8299,107.1
6,25.20,0.8340,107.7
6,25.30,0.8372,108.1
6,25.40,0.8397,108.4
6,25.50,0.8422,108.8
6,25.60,0.8453,109.3
6,25.70,0.8489,109.9
6,25.80,0.8526,110.4
6,25.90,0.8558,110.9
6,26.00,0.8592,111.4
6,26.10,0.8630,112.0
6,26.20,0.8667,112.5
6,26.30,0.8701,113.0
6,26.40,0.8732,113.5
6,26.50,0.8762,113.9
6,26.60,0.8796,114.4
6,26.70,0.8834,115.0
6,26.80,0.8870,115.6
6,26.90,0.8899,116.0
6,27.00,0.8925,116.3
6,27.10,0.8953,116.8
6,27.20,0.8986,117.3
6,27.30,0.9022,117.9
6,27.40,0.9057,118.4
6,27.50,0.9090,118.8
6,27.60,0.9126,119.4
6,27.70,0.9164,120.0
6,27.80,0.9198,120.5
6,27.90,0.9231,120.9
6,28.00,0.9260,121.4
